Building#,Altitude,BuildingHeight,BuildingWidth,NestHeight,SquareArea,AveNoise,temp,prec,win,nd,npp,pop,lon,lat,NestCount,NestD1,AvilNest,AvaNR2,gdpp,NestHeightR,DensityR,AvaNR,light,urban,ID
Building 11,47,30,56,15,5100,32,19.52,77.17,2.45,4782,-1.37E-10,1108.980103,116.23,40.06,17,0,40,1.428571429,16.49040485,6.45,0.303571429,0.714285714,62,0.90498811006546,11640
Building 3,47,27,67,16.5,1600,35,19.52,77.17,2.45,4782,-1.37E-10,1108.980103,116.23,40.06,13,0.5,48,1.611940299,16.49040485,4.31235,0.194029851,0.71641791,62,0.90498811006546,11640
Building 8-1,47,30,56,12,1600,44,19.52,77.17,2.45,4782,-1.37E-10,1108.980103,116.23,40.06,10,1,24,1.428571429,16.49040485,4.875,0.178571429,0.428571429,62,0.90498811006546,11640
Building 8-2,47,30,56,19.2,1600,47,19.52,77.17,2.45,4782,-1.37E-10,1108.980103,116.23,40.06,13,0,40,1.428571429,16.49040485,5.325,0.232142857,0.714285714,62,0.90498811006546,11640
Building 9-1,47,30,56,16.5,1200,34,19.52,77.17,2.45,4782,-1.37E-10,1108.980103,116.23,40.06,9,1,32,1.285714286,16.49040485,4.875,0.160714286,0.571428571,62,0.90498811006546,11640
Building 9-2,47,30,56,16,2800,34,19.52,77.17,2.45,4782,-1.37E-10,1108.980103,116.23,40.06,6,0,24,1.285714286,16.49040485,3.75,0.107142857,0.428571429,62,0.90498811006546,11640
SOHO,2236,53.5,75,12.25,28600,51,12.15,47.83,2.6,4349,-4.48E-11,364.5963745,101.71,36.64,6,0,36,2.52,5.563206934,1.9025875,0.08,0.48,63,0.725927948951721,10237
Aerding Community Building 25,1049,18,50,12.75,3200,49,15.4,37.33,3.08,2201,-1.64E-11,17128.05469,109.83,40.64,3,0,14,0.84,10.28797015,2.428875,0.06,0.28,63,0.846382856369019,11041
Aerding Community Building 26,1033,24.5,20,15.75,9300,56,15.4,37.33,3.08,2201,-1.64E-11,17128.05469,109.83,40.64,2,1,6,1.2,10.28797015,5.249475,0.1,0.3,63,0.846382856369019,11041
Aerding Community Building 29,1056,18,75,10.5,2000,54,15.47,38,3.13,2201,-1.64E-11,5291.505859,109.83,40.63,4,0,16,0.426666667,10.28797015,2.610983333,0.053333333,0.213333333,63,0.865162968635559,11041
Aerding Community Building 35,1048,18,60,10.5,11200,48,15.4,37.33,3.08,2201,-1.64E-11,17128.05469,109.83,40.64,5,0,19,0.633333333,10.28797015,3.02365,0.083333333,0.316666667,63,0.846382856369019,11041
Anding Heshi Hotel,1865,12,35,10.5,276,45,12.22,51.33,2.12,3589,6.86232182189883e-10,6600.537598,104.62,35.58,2,0,20,1.142857143,1.748585732,1.05,0.057142857,0.571428571,60,0.815599143505096,10536
Antian Community Building 11,1499.14,15,40,9,1000,58,16.12,43,1.82,2745,4.1975678488626e-10,8031.983887,103.83,36.04,3,0.5,10,0.625,6.621804697,2.4,0.075,0.25,62,0.8785480260849,10436
Baiyin District Zhaoshangju Family Quarters,1658,21,60,16,2100,53,15.08,30,2.47,2081,4.7367199051962e-10,2151.73999,104.17,36.54,4,1,14,0.544444444,3.216234269,4.15,0.066666667,0.233333333,62,0.858234941959381,10437
Baiyin Community Building 14,1704.8,18,70,7.75,1600,48,14.87,30.17,2.45,1722,4.7367199051962e-10,1864.465088,104.17,36.56,3,0,8,0.342857143,3.216234269,3,0.042857143,0.114285714,61,0.741918563842773,10437
Baiyin Community Building 16,1689.66,18,60,6.75,1600,48,14.87,30.17,2.45,1722,4.7367199051962e-10,1864.465088,104.17,36.56,2,1,7,0.35,3.216234269,1.89575,0.033333333,0.116666667,61,0.741918563842773,10437
