Method,k,Silhouette,CalinskiHarabasz,SmallestCluster,LargestCluster,Inertia
K-means,2,0.2474923177201055,180.9786653447097,236,265,2573.599863038137
Hierarchical-average,2,0.43813925372030876,9.71140078162485,2,499,
K-means,3,0.26352567653154385,157.36101064686494,102,205,2148.9340195554937
Hierarchical-average,3,0.3342057003835503,7.848987979723554,2,497,
K-means,4,0.256047739622743,145.70749930139158,76,164,1865.899819253471
Hierarchical-average,4,0.28885634691208634,53.539007255457555,2,422,
K-means,5,0.26745767772771084,140.6031992175222,51,156,1643.4721926491463
Hierarchical-average,5,0.255102769346574,40.61008235939075,1,422,
K-means,6,0.2556144599402816,129.93118414517622,57,119,1516.5823795321314
Hierarchical-average,6,0.1753306367296675,35.05986607958394,1,416,
