antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
AveNoise=Low AND BuildingHeight=Low,NestCountGroup=Lower,0.17165668662674652,0.5508982035928144,0.10978043912175649,0.6395348837209301,1.1608948432760362,1.0,0.015215078824387149,1.2458953061618694,0.16731653888280387,0.1791530944625407,0.1973643410852711,0.41940512301988536
BuildingHeight=Low AND BuildingWidth=Medium,NestCountGroup=Lower,0.15169660678642716,0.5508982035928144,0.10578842315369262,0.6973684210526315,1.2658752860411897,1.0,0.02221903498392437,1.4839885446498304,0.24759156492785797,0.17725752508361206,0.32614035087719284,0.44469870327993893
Altitude=Low,NestCountGroup=Higher,0.33532934131736525,0.4491017964071856,0.22954091816367264,0.6845238095238095,1.5242063492063493,1.0,0.07894390859000561,1.74624336233194,0.5174304739522131,0.4136690647482014,0.427342132505176,0.5978174603174603
Altitude=Low AND BuildingWidth=Low,NestCountGroup=Higher,0.19560878243512975,0.4491017964071856,0.11776447105788423,0.6020408163265306,1.3405442176870748,1.0,0.029916215473245134,1.3843083064639952,0.3158093956344367,0.2234848484848485,0.2776175687666371,0.43213151927437643
Altitude=Low AND BuildingHeight=High,NestCountGroup=Higher,0.17764471057884232,0.4491017964071856,0.1317365269461078,0.7415730337078652,1.65123595505618,1.0,0.05195596830291514,2.131736526946108,0.47958958517210953,0.26612903225806456,0.5308988764044944,0.5174531835205993
temp=High,NestCountGroup=Higher,0.32335329341317365,0.4491017964071856,0.20758483033932135,0.6419753086419753,1.4294650205761317,1.0,0.06236628539328529,1.5387156721040676,0.44400953029271617,0.36749116607773846,0.3501073537305421,0.5520987654320988
Altitude=Low AND temp=High,NestCountGroup=Higher,0.2774451097804391,0.4491017964071856,0.1996007984031936,0.7194244604316546,1.6019184652278178,1.0,0.07499970119640958,1.9634576999846458,0.5200276243093923,0.37878787878787884,0.4906944010009383,0.5819344524380495
BuildingHeight=High AND temp=High,NestCountGroup=Higher,0.15768463073852296,0.4491017964071856,0.11377245508982035,0.7215189873417721,1.6065822784810126,1.0,0.04295600415934597,1.9782253674469241,0.4482414567223746,0.23076923076923075,0.49449642267473853,0.4874261603375527
prec=High AND temp=High,NestCountGroup=Higher,0.2315369261477046,0.4491017964071856,0.15768463073852296,0.6810344827586207,1.5164367816091955,1.0,0.05370098127099095,1.7271403139666612,0.44316948873910894,0.3015267175572519,0.4210082458770614,0.516072796934866
Altitude=Low AND prec=High,NestCountGroup=Higher,0.20958083832335328,0.4491017964071856,0.15568862275449102,0.7428571428571429,1.6540952380952383,1.0,0.06156549177094914,2.142381902860945,0.5002913752913755,0.30952380952380953,0.5332298136645963,0.5447619047619048
BuildingHeight=High AND prec=High,NestCountGroup=Higher,0.1656686626746507,0.4491017964071856,0.10379241516966067,0.6265060240963856,1.3950200803212853,1.0,0.029390321154098994,1.4749855128452773,0.3393908722856092,0.20312499999999997,0.32202723939235206,0.4288085676037483
Altitude=High,NestCountGroup=Lower,0.3333333333333333,0.5508982035928144,0.27345309381237526,0.8203592814371258,1.4891304347826086,1.0,0.08982035928143714,2.5000000000000004,0.4927007299270073,0.44771241830065356,0.6000000000000001,0.6583680465156643
Altitude=High AND win=Low,NestCountGroup=Lower,0.19161676646706588,0.5508982035928144,0.15768463073852296,0.8229166666666666,1.4937726449275361,1.0,0.05212329831355253,2.5361042620641063,0.4089076418190341,0.26962457337883955,0.6056944444444443,0.5545742753623188
Altitude=High AND BuildingHeight=Low,NestCountGroup=Lower,0.1536926147704591,0.5508982035928144,0.13572854291417166,0.8831168831168831,1.603049124788255,1.0,0.051059557531643304,3.8423153692614758,0.4445061043285239,0.23859649122807022,0.7397402597402597,0.564746847355543
Altitude=High AND AveNoise=Low,NestCountGroup=Lower,0.1437125748502994,0.5508982035928144,0.12375249500998003,0.8611111111111112,1.5631038647342996,1.0,0.04458149569125222,3.2335329341317376,0.4207083239341304,0.21678321678321677,0.6907407407407409,0.5428743961352658
Altitude=High AND BuildingWidth=Low,NestCountGroup=Lower,0.11377245508982035,0.5508982035928144,0.10379241516966067,0.9122807017543859,1.6559877955758961,1.0,0.04111537404233449,5.119760479041913,0.446985446985447,0.1850533807829181,0.8046783625730993,0.5503432494279176
Altitude=High AND prec=Low,NestCountGroup=Lower,0.2055888223552894,0.5508982035928144,0.1536926147704591,0.7475728155339807,1.3570071760236389,1.0,0.040434101856167914,1.7791340396130824,0.3311688311688312,0.25496688741721857,0.437928802588997,0.5132791613901788
Altitude=High AND BuildingWidth=Medium,NestCountGroup=Lower,0.1437125748502994,0.5508982035928144,0.11776447105788423,0.8194444444444445,1.4874698067632852,1.0,0.03859347173915642,2.487333026255183,0.382718975939315,0.2041522491349481,0.5979629629629631,0.5166062801932367
temp=Low,NestCountGroup=Lower,0.3333333333333333,0.5508982035928144,0.26746506986027946,0.8023952095808384,1.456521739130435,1.0,0.08383233532934134,2.272727272727274,0.47014925373134336,0.43365695792880254,0.5600000000000003,0.6439512279788251
Altitude=High AND temp=Low,NestCountGroup=Lower,0.23353293413173654,0.5508982035928144,0.20159680638722555,0.8632478632478632,1.5669825343738386,1.0,0.07294393249429285,3.284056886227543,0.4720761138613861,0.34589041095890405,0.6954985754985753,0.6145949461166852
prec=Low AND temp=Low,NestCountGroup=Lower,0.18363273453093812,0.5508982035928144,0.14770459081836326,0.8043478260869565,1.4600661625708884,1.0,0.046541647244433285,2.295409181636727,0.38597766470627104,0.25170068027210885,0.5643478260869565,0.536231884057971
BuildingHeight=Low AND temp=Low,NestCountGroup=Lower,0.17964071856287425,0.5508982035928144,0.14770459081836326,0.8222222222222222,1.4925120772946858,1.0,0.04874084166995349,2.5261976047904184,0.4022489642927598,0.2534246575342466,0.6041481481481481,0.5451690821256039
BuildingWidth=Medium AND temp=Low,NestCountGroup=Lower,0.1377245508982036,0.5508982035928144,0.11976047904191617,0.8695652173913043,1.5784499054820416,1.0,0.04388827136146868,3.443113772455089,0.425,0.2105263157894737,0.7095652173913043,0.5434782608695652
AveNoise=Low AND temp=Low,NestCountGroup=Lower,0.13373253493013973,0.5508982035928144,0.11377245508982035,0.8507462686567163,1.5442894224529524,1.0,0.04009944183489307,3.008982035928142,0.40686393402861976,0.1993006993006993,0.6676616915422884,0.5286340038935755
temp=Low AND win=Low,NestCountGroup=Lower,0.12574850299401197,0.5508982035928144,0.10978043912175649,0.873015873015873,1.5847135955831608,1.0,0.040505814717869654,3.536676646706587,0.42204234122042344,0.1936619718309859,0.7172486772486772,0.5361456176673568
prec=Low AND win=High,NestCountGroup=Lower,0.17365269461077845,0.5508982035928144,0.11976047904191617,0.689655172413793,1.2518740629685157,1.0,0.02409552153178672,1.4471057884231533,0.24347826086956517,0.19801980198019803,0.30896551724137916,0.45352323838080955
BuildingHeight=Low,NestCountGroup=Lower,0.37924151696606784,0.5508982035928144,0.25149700598802394,0.6631578947368421,1.2037757437070937,1.0,0.042573535563603326,1.333270958083832,0.2726994334711376,0.37058823529411766,0.24996491228070164,0.5598398169336384
prec=Low,NestCountGroup=Lower,0.34331337325349304,0.5508982035928144,0.24151696606786427,0.7034883720930232,1.27698432760364,1.0,0.05238624547312559,1.5146178231771745,0.33030219297143854,0.3700305810397553,0.3397674418604649,0.5709470845972362
AveNoise=Low AND prec=Low,NestCountGroup=Lower,0.17365269461077845,0.5508982035928144,0.1217564870259481,0.7011494252873562,1.2727386306846575,1.0,0.026091529515818654,1.5027637033625054,0.2593252554050843,0.2019867549668874,0.3345593869731799,0.4610819590204897
BuildingHeight=Low AND prec=Low,NestCountGroup=Lower,0.17365269461077845,0.5508982035928144,0.13572854291417166,0.7816091954022989,1.4187906046976513,1.0,0.040063585404042215,2.05641348881185,0.35720375106564367,0.2305084745762712,0.5137164750957856,0.5139930034982509
BuildingWidth=Medium AND prec=Low,NestCountGroup=Lower,0.14570858283433133,0.5508982035928144,0.10778443113772455,0.7397260273972603,1.3427635497319834,1.0,0.02751383460623663,1.7254963756697137,0.2988058151609554,0.18305084745762712,0.4204566210045663,0.4676891006551519
Altitude=Medium AND temp=Medium,NestCountGroup=Higher,0.1996007984031936,0.4491017964071856,0.11976047904191617,0.6,1.336,1.0,0.030119401914733404,1.377245508982036,0.31421446384039897,0.22641509433962265,0.27391304347826084,0.43333333333333335
