Model,Fold,MAE,RMSE,R2
Baseline Mean,1,3.340435847708481,4.463519055212789,-0.013886943284227682
Baseline Mean,2,3.040618811881188,3.740187070095148,-0.15193559942081025
Baseline Mean,3,3.7526727968674374,5.5183749434075375,-0.0020106201355440945
Baseline Mean,4,5.691489361702128,9.438453991491581,-0.12487746585012371
Baseline Mean,5,2.7138686131386867,3.224425784217311,-0.2854121934671823
Baseline Median,1,2.8762886597938144,4.605017433952917,-0.0791884816753925
Baseline Median,2,2.5445544554455446,3.5334329645334273,-0.028099773974814335
Baseline Median,3,3.3865546218487395,5.817244720179286,-0.11348554273976919
Baseline Median,4,5.797872340425532,9.850477901788167,-0.2252313276600002
Baseline Median,5,2.3333333333333335,2.8751811537130436,-0.022040417607912532
Linear Regression,1,2.282975850510277,3.277680600424674,0.453276168144888
Linear Regression,2,2.817569490960445,3.4714909209564344,0.0076300190918598965
Linear Regression,3,3.4696411690705053,4.943253566706623,0.19596363556552365
Linear Regression,4,5.177263621889029,7.888350820692862,0.21426531602609677
Linear Regression,5,2.298906008808966,3.0444634781800657,-0.14593288275803373
Decision Tree,1,2.328503487786602,3.375964883619944,0.4199965391634497
Decision Tree,2,2.3232530827950675,3.189475831856515,0.16231607368058254
Decision Tree,3,2.86048378421352,4.708817711665044,0.27041873861083443
Decision Tree,4,4.522117333922795,7.692292362715233,0.252837520014216
Decision Tree,5,2.087773970507744,2.805272579061606,0.02705614862074701
Random Forest,1,2.0580546450001465,3.0382794651760885,0.5302246976603286
Random Forest,2,2.2697530161175754,3.055906013886216,0.23100850394118255
Random Forest,3,3.0759246445032256,4.654439976438385,0.2871719475934178
Random Forest,4,4.458141682949688,7.544155175703198,0.28133794294351755
Random Forest,5,2.272801865649088,3.1606102539149927,-0.23503576431613693
