SourceRowIndex,Building#,ID,BuildingHeight,BuildingWidth,Altitude,AveNoise,temp,prec,win,NestCount,HigherNestCount,Split,Cluster
0,Building 11,11640,30.0,56.0,47.0,32.0,19.52,77.17,2.45,17,1,train,1
1,Building 3,11640,27.0,67.0,47.0,35.0,19.52,77.17,2.45,13,1,train,1
2,Building 8-1,11640,30.0,56.0,47.0,44.0,19.52,77.17,2.45,10,1,train,1
3,Building 8-2,11640,30.0,56.0,47.0,47.0,19.52,77.17,2.45,13,1,train,1
4,Building 9-1,11640,30.0,56.0,47.0,34.0,19.52,77.17,2.45,9,1,train,1
5,Building 9-2,11640,30.0,56.0,47.0,34.0,19.52,77.17,2.45,6,1,train,1
6,SOHO,10237,53.5,75.0,2236.0,51.0,12.15,47.83,2.6,6,1,train,2
7,Aerding Community Building 25,11041,18.0,50.0,1049.0,49.0,15.4,37.33,3.08,3,0,train,2
8,Aerding Community Building 26,11041,24.5,20.0,1033.0,56.0,15.4,37.33,3.08,2,0,train,2
9,Aerding Community Building 29,11041,18.0,75.0,1056.0,54.0,15.47,38.0,3.13,4,0,train,2
10,Aerding Community Building 35,11041,18.0,60.0,1048.0,48.0,15.4,37.33,3.08,5,1,train,2
11,Anding Heshi Hotel,10536,12.0,35.0,1865.0,45.0,12.22,51.33,2.12,2,0,train,3
12,Antian Community Building 11,10436,15.0,40.0,1499.14,58.0,16.12,43.0,1.82,3,0,train,3
13,Baiyin District Zhaoshangju Family Quarters,10437,21.0,60.0,1658.0,53.0,15.08,30.0,2.47,4,0,train,2
14,Baiyin Community Building 14,10437,18.0,70.0,1704.8,48.0,14.87,30.17,2.45,3,0,train,2
15,Baiyin Community Building 16,10437,18.0,60.0,1689.66,48.0,14.87,30.17,2.45,2,0,train,2
16,Baihe Jiayuan 1,11339,18.0,75.0,1045.0,49.0,15.0,55.83,2.78,6,1,train,0
17,Baihe Jiayuan 2,11339,18.0,75.0,1045.0,49.0,15.0,55.83,2.78,7,1,train,0
18,Baiwang Moli Garden,11640,33.0,68.0,50.0,33.0,19.5,77.17,2.47,12,1,train,1
19,Baoqing Jiayuan Building 14,10638,20.0,60.0,1080.0,47.0,16.35,25.83,2.68,5,1,train,2
20,Baoqing Jiayuan Building 15,10638,17.5,60.0,1093.0,58.0,16.35,25.83,2.68,8,1,train,2
21,Baoqing Jiayuan Building 3,10638,21.5,50.0,1079.0,61.0,16.35,25.83,2.68,4,0,train,2
22,Beiguan Jingcheng 1,11538,108.0,35.0,58.0,55.0,20.12,66.0,2.4,12,1,train,1
23,Beiguan Jingcheng 2,11538,108.0,35.0,58.0,55.0,20.12,66.0,2.4,30,1,train,1
24,Beijing Haidian Yongfeng Nonggongshang Corporation,11640,19.8,60.0,48.0,54.0,19.5,76.5,2.43,10,1,train,1
25,Bihai Garden 1,11339,18.0,74.0,1046.0,57.0,14.9,55.17,2.8,7,1,train,0
26,Bihai Garden 2,11339,18.0,57.0,1046.0,57.0,14.9,55.17,2.8,6,1,train,0
29,Bishui Lanwan Building 17,11438,33.0,6.0,72.0,64.0,20.2,66.5,2.3,3,0,train,1
30,Bishui Lanwan Building 18,11438,36.0,50.0,72.0,64.0,20.2,66.5,2.3,8,1,train,1
31,Binhe West Road No.20,11138,18.0,35.0,920.0,62.0,16.8,58.17,2.48,3,0,train,0
32,Binhe Yuexiu 1,11538,78.0,40.0,51.0,46.0,20.28,65.17,2.4,24,1,train,1
33,Binhe Yuexiu 2,11538,78.0,40.0,51.0,46.0,20.28,65.17,2.4,14,1,train,1
34,Binjiang Garden,11138,48.0,70.0,909.0,56.0,16.8,58.0,2.5,12,1,train,0
35,Binxi Garden Block B,11338,34.0,80.0,785.0,43.0,16.97,52.33,2.47,7,1,train,0
36,Binxi Garden Block C,11338,76.0,80.0,773.0,51.0,16.97,52.33,2.47,23,1,train,4
41,Caiqiao Xincun Building 19,10538,15.0,30.0,1194.07,46.0,16.02,24.17,2.67,1,0,train,2
42,Caiqiao Xincun Building 22,10538,15.0,40.0,1186.312,45.0,16.02,24.17,2.67,8,1,train,2
43,Caiqiao Xincun Building 5,10538,18.0,20.0,1193.29,58.0,16.02,24.17,2.67,4,0,train,2
44,Changsheng North Street Building 14,11538,15.0,45.0,44.0,47.0,20.15,61.5,2.43,8,1,train,1
45,Changsheng North Street Building 16,11538,15.0,45.0,42.0,52.0,20.15,61.5,2.43,9,1,train,1
46,Changsheng North Street Building 21,11538,15.0,40.0,45.0,49.0,20.15,61.5,2.43,7,1,train,1
47,Changning Community,11138,21.0,55.0,908.0,53.0,16.8,59.83,2.42,3,0,train,0
